sgRNA,Gene,HL60.initial,KBM7.initial,HL60.final,KBM7.final
CERS4_p8316111,CERS4,643,920,1836,2384
CGREF1_m27324966,CGREF1,759,351,1541,847
CGREF1_p27324949,CGREF1,980,605,1644,1815
CGREF1_p27324956,CGREF1,370,391,976,1207
CGREF1_p27324974,CGREF1,90,233,670,663
CGREF1_p27325390,CGREF1,218,36,307,342
CGREF1_p27325399,CGREF1,826,469,1629,1150
CGREF1_p27325435,CGREF1,932,548,1871,1637
CGREF1_p27325440,CGREF1,391,239,636,1551
CGREF1_p27327151,CGREF1,195,298,652,529
CGREF1_p27327205,CGREF1,916,846,2275,3481
CHD2_m93444493,CHD2,976,325,828,1772
CHD2_m93467561,CHD2,490,427,300,1443
CHD2_p93444507,CHD2,1489,1137,2259,4210
CHD2_p93467553,CHD2,470,252,553,646
CHD2_p93467566,CHD2,84,201,325,787
CHD2_p93467577,CHD2,230,340,599,1440
CHD2_p93467589,CHD2,877,636,2090,1959
CHD2_p93467602,CHD2,138,150,1035,870
CHD2_p93467608,CHD2,279,585,976,1508
CHD2_p93467614,CHD2,802,811,1318,2475
CHD3_m7793007,CHD3,1189,781,3236,3227
CHD3_m7793043,CHD3,273,417,422,1867
CHD3_p7792975,CHD3,942,612,1437,1882
CHD3_p7792994,CHD3,632,464,1402,1288
CHD3_p7793033,CHD3,607,596,2451,2427
CHD3_p7793046,CHD3,375,707,2624,3206
CHD3_p7793875,CHD3,232,117,438,762
CHD3_p7793885,CHD3,796,629,2459,2826
CHD3_p7793907,CHD3,1295,685,2273,1777
CHD3_p7793924,CHD3,135,98,289,387
CHP1_m41523596,CHP1,526,745,1721,1062
CHP1_m41535870,CHP1,738,630,1832,1687
CHP1_m41535889,CHP1,134,186,339,481
CHP1_m41535906,CHP1,404,434,1327,560
CHP1_p41523569,CHP1,0,0,0,0
CHP1_p41523587,CHP1,730,362,1213,716
CHP1_p41523603,CHP1,583,370,1984,888
CHP1_p41523615,CHP1,165,170,555,646
CHP1_p41535876,CHP1,352,681,1495,1500
CHP1_p41535915,CHP1,715,621,1472,1273
CIB1_m90775497,CIB1,568,813,1769,2208
CIB1_m90775549,CIB1,235,228,755,757
CIB1_m90776913,CIB1,347,345,1243,1865
CIB1_m90777068,CIB1,1238,1235,3048,3867
CIB1_m90777089,CIB1,959,659,1227,1393
CIB1_p90775506,CIB1,510,393,807,1149
CIB1_p90776901,CIB1,363,176,807,935
CIB1_p90776916,CIB1,243,316,992,534
CIB1_p90777054,CIB1,549,288,1216,1896
CIB1_p90777074,CIB1,296,173,481,680
CIDEC_m9918859,CIDEC,768,504,1452,2064
CIDEC_m9918880,CIDEC,481,510,1260,786
CIDEC_p9918804,CIDEC,881,777,2837,2912
CIDEC_p9918809,CIDEC,534,570,1393,1841
CIDEC_p9918850,CIDEC,265,97,125,117
CIDEC_p9918863,CIDEC,543,368,969,926
CIDEC_p9918884,CIDEC,628,476,1644,1508
CIDEC_p9920103,CIDEC,204,219,744,1205
CIDEC_p9920110,CIDEC,1127,759,3787,1828
CIDEC_p9920137,CIDEC,717,641,1163,2065
CITED1_m71522030,CITED1,598,661,1761,1222
CITED1_m71522051,CITED1,671,578,1071,2015
CITED1_m71522661,CITED1,845,651,2047,2365
CITED1_m71522681,CITED1,454,416,1648,1428
CITED1_m71522704,CITED1,123,135,607,855
CITED1_p71522033,CITED1,246,422,1240,1171
CITED1_p71522043,CITED1,399,231,604,461
CITED1_p71522063,CITED1,231,339,888,606
CITED1_p71522653,CITED1,714,507,1372,1690
CITED1_p71522693,CITED1,2,115,559,311
CITED2_m139694902,CITED2,571,334,894,496
CITED2_m139694908,CITED2,413,346,1715,953
CITED2_m139694927,CITED2,665,705,1610,1618
CITED2_m139694992,CITED2,109,240,1387,729
CITED2_m139694998,CITED2,1055,939,1859,1289
CITED2_m139695051,CITED2,735,664,1243,761
CITED2_p139694910,CITED2,98,77,89,45
CITED2_p139694919,CITED2,360,32,370,550
CITED2_p139695009,CITED2,269,544,1852,1116
CITED2_p139695018,CITED2,782,604,2920,1115
CKAP2_m53029732,CKAP2,122,138,1133,689
CKAP2_m53029752,CKAP2,210,244,650,498
CKAP2_m53035066,CKAP2,952,380,923,1371
CKAP2_m53035273,CKAP2,656,405,1871,1506
CKAP2_m53035289,CKAP2,385,237,1513,1010
CKAP2_p53029681,CKAP2,1224,938,2348,1471
CKAP2_p53029739,CKAP2,709,519,897,1623
CKAP2_p53035039,CKAP2,633,812,1541,1622
CKAP2_p53035055,CKAP2,778,328,677,2003
CKAP2_p53035302,CKAP2,307,119,306,171
CKAP5_m46837949,CKAP5,1062,748,738,502
CKAP5_m46839911,CKAP5,292,229,803,445
CKAP5_m46839924,CKAP5,689,335,356,39
CKAP5_m46840023,CKAP5,664,741,1125,128
CKAP5_m46840033,CKAP5,997,897,768,942
CKAP5_m46842727,CKAP5,680,751,943,493
CKAP5_m46842764,CKAP5,1078,566,1639,558
CKAP5_p46837930,CKAP5,995,274,466,660
CKAP5_p46839852,CKAP5,1058,361,1030,2117
CKAP5_p46842729,CKAP5,106,215,612,1475
CLCC1_m109486480,CLCC1,194,235,551,196
CLCC1_m109486485,CLCC1,251,340,520,586
CLCC1_m109490239,CLCC1,596,256,635,792
CLCC1_m109492443,CLCC1,178,253,509,632
CLCC1_m109492952,CLCC1,594,239,966,954
CLCC1_m109492993,CLCC1,796,600,777,1385
CLCC1_m109493015,CLCC1,727,476,1074,1329
CLCC1_p109492484,CLCC1,4,166,481,363
CLCC1_p109492960,CLCC1,823,836,1257,1736
CLCC1_p109493019,CLCC1,730,681,1258,2432
CLIC1_m31701646,CLIC1,449,283,1023,1432
CLIC1_m31701707,CLIC1,951,755,2539,2898
CLIC1_m31701977,CLIC1,467,481,708,1291
CLIC1_m31701985,CLIC1,566,400,1355,1804
CLIC1_m31704040,CLIC1,200,301,1069,1403
CLIC1_m31704058,CLIC1,725,261,1529,1500
CLIC1_p31701667,CLIC1,803,503,1128,1829
CLIC1_p31701710,CLIC1,775,452,2005,2141
CLIC1_p31701719,CLIC1,251,250,1090,1199
CLIC1_p31701938,CLIC1,477,397,1125,1222
CLK3_m74911566,CLK3,363,301,1507,1165
CLK3_m74911573,CLK3,302,476,1488,2185
CLK3_m74911578,CLK3,813,261,623,1293
CLK3_m74911668,CLK3,853,732,1784,1776
CLK3_m74912352,CLK3,532,850,2120,2030
CLK3_p74911580,CLK3,588,765,1760,1755
CLK3_p74911586,CLK3,1192,1473,5145,3405
CLK3_p74911598,CLK3,1062,926,3748,2520
CLK3_p74911609,CLK3,1086,1210,3178,3874
CLK3_p74911634,CLK3,778,766,3196,1640
CNOT2_m70704763,CNOT2,726,369,1249,513
CNOT2_m70713092,CNOT2,421,112,351,411
CNOT2_m70723245,CNOT2,535,119,1768,845
CNOT2_p70671992,CNOT2,697,591,1442,2060
CNOT2_p70672000,CNOT2,964,860,3289,1805
CNOT2_p70704671,CNOT2,1335,1089,1694,4258
CNOT2_p70704697,CNOT2,249,183,614,639
CNOT2_p70713080,CNOT2,281,520,1542,1159
CNOT2_p70713098,CNOT2,525,254,1532,867
CNOT2_p70723202,CNOT2,116,306,1468,511
COPS5_m67974092,COPS5,433,317,1110,716
COPS5_m67974099,COPS5,237,171,253,298
COPS5_m67974110,COPS5,1039,373,703,271
COPS5_m67974173,COPS5,952,567,286,111
COPS5_m67974209,COPS5,392,468,402,399
COPS5_m67974214,COPS5,681,351,1013,1139
COPS5_m67974219,COPS5,642,654,1336,1368
COPS5_p67974078,COPS5,222,238,505,311
COPS5_p67974162,COPS5,298,406,934,685
COPS5_p67974198,COPS5,708,1060,1779,2431
COPS7A_m6833857,COPS7A,611,681,1572,500
COPS7A_m6833907,COPS7A,325,354,1125,1456
COPS7A_m6833935,COPS7A,1847,892,2240,1982
COPS7A_p6833809,COPS7A,697,335,1596,1887
COPS7A_p6833818,COPS7A,956,989,2220,2234
COPS7A_p6833825,COPS7A,484,347,1697,1394
COPS7A_p6833836,COPS7A,613,249,219,446
COPS7A_p6833863,COPS7A,446,338,1174,1248
COPS7A_p6833869,COPS7A,1192,744,1900,2627
COPS7A_p6833899,COPS7A,350,542,823,559
COPS8_m237998596,COPS8,511,481,630,390
COPS8_p237998498,COPS8,126,208,536,646
COPS8_p237998529,COPS8,36,0,78,32
COPS8_p237998577,COPS8,1725,614,1347,313
COPS8_p237998587,COPS8,461,615,1066,877
COPS8_p237998615,COPS8,1080,509,1148,969
COPS8_p238002720,COPS8,315,406,884,937
COPS8_p238002808,COPS8,369,356,1342,914
COPS8_p238004461,COPS8,296,180,1279,655
COPS8_p238004505,COPS8,31,22,76,154
COQ7_m19083337,COQ7,823,294,1268,620
COQ7_p19083291,COQ7,521,983,1740,2393
COQ7_p19083301,COQ7,763,511,2006,2295
COQ7_p19083315,COQ7,299,232,578,651
COQ7_p19083329,COQ7,248,105,451,411
COQ7_p19083359,COQ7,265,232,406,327
COQ7_p19083367,COQ7,204,278,395,1792
COQ7_p19083376,COQ7,556,368,1065,1534
COQ7_p19083381,COQ7,390,238,948,517
COQ7_p19083392,COQ7,1223,1608,3569,2967
CORO2A_m100919878,CORO2A,232,279,606,1468
CORO2A_m100919936,CORO2A,340,51,235,568
CORO2A_p100919824,CORO2A,488,754,1479,1745
CORO2A_p100919832,CORO2A,893,1032,3068,3543
CORO2A_p100919837,CORO2A,1188,707,2490,3737
CORO2A_p100919861,CORO2A,1245,466,1379,1568
CORO2A_p100919884,CORO2A,328,264,1348,1780
CORO2A_p100919891,CORO2A,951,271,719,850
CORO2A_p100919899,CORO2A,29,172,606,785
CORO2A_p100919905,CORO2A,379,251,470,802
CPE_m166300544,CPE,518,512,1333,1966
CPE_p166300358,CPE,701,659,2524,1921
CPE_p166300364,CPE,373,305,746,1451
CPE_p166300391,CPE,698,642,1061,1736
CPE_p166300413,CPE,203,104,181,109
CPE_p166300420,CPE,371,311,862,1374
CPE_p166300435,CPE,241,203,1063,533
CPE_p166300442,CPE,405,344,602,1259
CPE_p166300489,CPE,127,82,297,225
CPE_p166300551,CPE,701,643,2464,2169
CPSF7_m61196655,CPSF7,777,503,2071,441
CPSF7_m61196667,CPSF7,204,149,379,269
CPSF7_m61196694,CPSF7,1306,820,3222,2049
CPSF7_m61196699,CPSF7,577,268,1102,554
CPSF7_p61188958,CPSF7,497,87,151,231
CPSF7_p61188990,CPSF7,572,242,1385,345
CPSF7_p61188999,CPSF7,0,42,96,198
CPSF7_p61189025,CPSF7,522,233,729,1217
CPSF7_p61189054,CPSF7,64,230,980,393
CPSF7_p61196686,CPSF7,744,392,1614,366
CPT2_m53662697,CPT2,340,250,679,320
CPT2_m53662703,CPT2,32,48,155,207
CPT2_m53662708,CPT2,373,329,1364,1466
CPT2_m53662713,CPT2,1092,597,1577,3199
CPT2_m53662719,CPT2,840,659,2162,2821
CPT2_m53662739,CPT2,939,350,1603,1595
CPT2_m53662761,CPT2,498,296,681,692
CPT2_m53666389,CPT2,205,418,989,1231
CPT2_p53662731,CPT2,998,665,2901,3738
CPT2_p53662745,CPT2,526,723,1855,1456
CRBN_m3216914,CRBN,177,158,132,295
CRBN_m3216929,CRBN,71,232,541,830
CRBN_m3221330,CRBN,196,287,1304,674
CRBN_m3221360,CRBN,243,252,893,1238
CRBN_m3221366,CRBN,474,456,812,839
CRBN_p3216846,CRBN,439,417,1026,1141
CRBN_p3221289,CRBN,197,81,358,150
CRBN_p3221294,CRBN,222,249,692,170
CRBN_p3221301,CRBN,653,823,1335,1127
CRBN_p3221344,CRBN,275,293,428,274
CREB3L1_m46299683,CREB3L1,192,492,1013,1022
CREB3L1_m46299707,CREB3L1,231,306,493,185
CREB3L1_m46299754,CREB3L1,1067,770,2013,1925
CREB3L1_m46321494,CREB3L1,632,305,817,661
CREB3L1_m46321502,CREB3L1,283,87,562,518
CREB3L1_p46299655,CREB3L1,107,159,204,713
CREB3L1_p46299667,CREB3L1,140,177,572,1133
CREB3L1_p46299675,CREB3L1,552,198,446,780
CREB3L1_p46299742,CREB3L1,612,757,1040,1376
CREB3L1_p46321481,CREB3L1,257,296,1435,1453
CRNKL1_m20033359,CRNKL1,199,103,248,294
CRNKL1_m20033393,CRNKL1,442,409,720,730
CRNKL1_m20036614,CRNKL1,1062,818,2401,2499
CRNKL1_m20036624,CRNKL1,278,391,576,787
CRNKL1_m20036645,CRNKL1,834,635,1014,1868
CRNKL1_p20033339,CRNKL1,230,192,751,275
CRNKL1_p20033351,CRNKL1,1010,450,1709,1415
CRNKL1_p20033363,CRNKL1,341,201,545,493
CRNKL1_p20033376,CRNKL1,1114,977,2786,1640
CRNKL1_p20036606,CRNKL1,563,550,725,1905
CSE1L_m47675063,CSE1L,651,548,2285,1224
CSE1L_m47675069,CSE1L,370,545,1792,2243
CSE1L_m47679813,CSE1L,321,242,579,627
CSE1L_m47682762,CSE1L,570,468,1248,650
CSE1L_m47682774,CSE1L,321,499,1153,1673
CSE1L_m47682783,CSE1L,834,441,400,408
CSE1L_p47679743,CSE1L,722,361,1844,1480
CSE1L_p47679793,CSE1L,175,130,197,0
CSE1L_p47682748,CSE1L,381,448,973,423
CSE1L_p47682808,CSE1L,471,121,1266,810
CSNK1G2_m1969818,CSNK1G2,249,112,437,712
CSNK1G2_m1969903,CSNK1G2,886,587,1251,1977
CSNK1G2_m1969953,CSNK1G2,589,529,1513,2437
CSNK1G2_p1969778,CSNK1G2,792,592,1826,2208
CSNK1G2_p1969809,CSNK1G2,368,488,1572,1542
CSNK1G2_p1969841,CSNK1G2,470,442,1559,1987
CSNK1G2_p1969848,CSNK1G2,735,808,1784,2371
CSNK1G2_p1969906,CSNK1G2,300,686,1152,2959
CSNK1G2_p1969912,CSNK1G2,1746,1348,2654,4788
CSNK1G2_p1969921,CSNK1G2,535,583,1333,2289
CSNK2A1_m468088,CSNK2A1,451,207,1472,326
CSNK2A1_m469323,CSNK2A1,335,228,540,935
CSNK2A1_m469399,CSNK2A1,1265,679,2972,2111
CSNK2A1_m469406,CSNK2A1,806,521,2247,1732
CSNK2A1_m469416,CSNK2A1,560,404,1266,1355
CSNK2A1_m470425,CSNK2A1,147,263,705,713
CSNK2A1_m470493,CSNK2A1,287,371,929,680
CSNK2A1_m472899,CSNK2A1,325,460,843,1248
CSNK2A1_m472992,CSNK2A1,449,420,1452,90
CSNK2A1_m476364,CSNK2A1,471,863,3170,1612
CSNK2A2_m58230656,CSNK2A2,932,663,3089,1514
CSNK2A2_m58230728,CSNK2A2,620,644,3465,1450
CSNK2A2_m58231540,CSNK2A2,786,518,2271,1910
CSNK2A2_m58231567,CSNK2A2,667,573,2961,2760
CSNK2A2_m58231597,CSNK2A2,661,369,1344,703
CSNK2A2_p58230648,CSNK2A2,755,463,2804,1973
CSNK2A2_p58230660,CSNK2A2,354,394,2489,2710
CSNK2A2_p58231555,CSNK2A2,251,498,1928,881
CSNK2A2_p58231577,CSNK2A2,81,70,488,194
CSNK2A2_p58231588,CSNK2A2,571,585,2352,2020
CSTF2_m100075431,CSTF2,473,711,1454,531
CSTF2_m100076529,CSTF2,571,644,2847,2559
CSTF2_m100076580,CSTF2,277,132,385,467
CSTF2_m100077238,CSTF2,320,339,711,1707
CSTF2_p100075390,CSTF2,2,210,232,184
CSTF2_p100075413,CSTF2,682,473,1152,630
CSTF2_p100075441,CSTF2,279,138,316,1069
CSTF2_p100076534,CSTF2,584,490,709,280
CSTF2_p100076572,CSTF2,682,403,1148,958
CSTF2_p100077252,CSTF2,423,272,1052,466
CTC1_m8146450,CTC1,502,395,835,502
CTC1_m8146457,CTC1,818,684,2127,3021
CTC1_m8151341,CTC1,741,579,2935,1982
CTC1_m8151346,CTC1,202,192,300,220
CTC1_p8146392,CTC1,521,541,539,1175
CTC1_p8146399,CTC1,633,572,1420,1556
CTC1_p8146436,CTC1,1097,778,2483,803
CTC1_p8151307,CTC1,781,437,574,511
CTC1_p8151314,CTC1,1030,911,908,325
CTC1_p8151320,CTC1,399,352,957,1445
CTCFL_m56093879,CTCFL,836,895,1600,1947
CTCFL_m56093898,CTCFL,171,295,1129,1403
CTCFL_m56093914,CTCFL,804,619,1653,2287
CTCFL_p56093863,CTCFL,377,354,827,420
CTCFL_p56093916,CTCFL,235,300,858,1021
CTCFL_p56093921,CTCFL,296,302,717,992
CTCFL_p56094259,CTCFL,249,580,1128,1545
CTCFL_p56094283,CTCFL,1072,601,1977,1570
CTCFL_p56094315,CTCFL,1159,1136,2119,1815
CTCFL_p56094326,CTCFL,900,585,2119,2057
CTDNEP1_m7150410,CTDNEP1,132,257,508,378
CTDNEP1_m7150415,CTDNEP1,885,580,1425,2195
CTDNEP1_m7150490,CTDNEP1,264,269,555,656
CTDNEP1_m7154515,CTDNEP1,262,316,437,560
CTDNEP1_m7154528,CTDNEP1,574,438,1028,361
CTDNEP1_p7150389,CTDNEP1,807,651,1868,3087
CTDNEP1_p7150400,CTDNEP1,522,688,2663,3586
CTDNEP1_p7150477,CTDNEP1,395,385,658,1086
CTDNEP1_p7150586,CTDNEP1,45,54,423,504
CTDNEP1_p7150594,CTDNEP1,138,179,424,357
CTR9_m10772987,CTR9,335,269,355,185
CTR9_m10774248,CTR9,486,337,659,265
CTR9_m10776605,CTR9,792,727,2574,3298
CTR9_p10774226,CTR9,590,485,1928,1174
CTR9_p10774259,CTR9,0,0,0,1
CTR9_p10774282,CTR9,744,787,1397,1509
CTR9_p10776501,CTR9,724,504,511,306
CTR9_p10776549,CTR9,1254,1029,3175,2590
CTR9_p10776557,CTR9,572,702,1165,2318
CTR9_p10776626,CTR9,258,217,724,624
CUTC_m101492153,CUTC,1087,534,1920,2163
CUTC_m101499519,CUTC,990,520,961,1009
CUTC_p101492135,CUTC,484,955,1773,1808
CUTC_p101492140,CUTC,433,153,555,1078
CUTC_p101496003,CUTC,490,406,1319,1754
CUTC_p101496024,CUTC,492,395,1447,1520
CUTC_p101496049,CUTC,839,597,1731,2141
CUTC_p101499454,CUTC,676,416,1955,1412
CUTC_p101499471,CUTC,864,563,1958,2385
CUTC_p101499482,CUTC,472,212,1322,283
DACT1_m59104971,DACT1,393,278,1173,1500
DACT1_m59104976,DACT1,534,375,1199,2423
DACT1_p59104917,DACT1,443,430,906,864
DACT1_p59104922,DACT1,422,257,506,653
DACT1_p59104928,DACT1,432,248,781,343
DACT1_p59104934,DACT1,651,415,783,501
DACT1_p59104943,DACT1,331,295,522,495
DACT1_p59104949,DACT1,67,6,214,153
DACT1_p59105020,DACT1,705,914,1408,3080
DACT1_p59105032,DACT1,631,282,677,1493
DAG1_m49548055,DAG1,255,206,380,274
DAG1_m49548063,DAG1,333,306,458,570
DAG1_m49548101,DAG1,1199,411,1450,1285
DAG1_m49548115,DAG1,588,877,1559,3100
DAG1_p49547960,DAG1,1556,1179,4294,3439
DAG1_p49548017,DAG1,94,78,203,406
DAG1_p49548023,DAG1,599,572,1165,1630
DAG1_p49548037,DAG1,532,372,797,862
DAG1_p49548065,DAG1,309,328,867,889
DAG1_p49548070,DAG1,207,409,653,362
DAXX_m33289203,DAXX,174,100,704,582
DAXX_m33289208,DAXX,566,322,371,875
DAXX_m33289220,DAXX,999,967,2769,1483
DAXX_m33289281,DAXX,67,134,694,160
DAXX_m33289301,DAXX,757,741,1085,287
DAXX_p33289227,DAXX,693,244,735,648
DAXX_p33289259,DAXX,568,576,1228,1697
DAXX_p33289268,DAXX,233,421,1307,1295
DAXX_p33289273,DAXX,959,392,2431,3095
DAXX_p33289285,DAXX,732,762,2003,599
DCAF17_m172291088,DCAF17,78,159,943,259
DCAF17_m172291095,DCAF17,504,348,808,888
DCAF17_m172291100,DCAF17,640,462,2271,2990
DCAF17_m172291108,DCAF17,379,489,1511,2264
DCAF17_m172291134,DCAF17,656,256,791,1062
DCAF17_p172291079,DCAF17,489,215,1066,1040
DCAF17_p172291112,DCAF17,212,170,691,797
DCAF17_p172291141,DCAF17,301,305,1014,576
DCAF17_p172291146,DCAF17,184,268,1685,963
DCAF17_p172291154,DCAF17,370,299,896,945
DCLRE1A_m115612661,DCLRE1A,972,640,2367,2935
DCLRE1A_m115612684,DCLRE1A,216,183,578,392
DCLRE1A_m115612690,DCLRE1A,246,266,759,794
DCLRE1A_m115612760,DCLRE1A,978,425,1136,2392
DCLRE1A_m115612766,DCLRE1A,147,127,568,805
DCLRE1A_m115612864,DCLRE1A,507,391,672,2063
DCLRE1A_m115612910,DCLRE1A,832,408,1351,2130
DCLRE1A_p115612721,DCLRE1A,700,467,742,1066
DCLRE1A_p115612902,DCLRE1A,183,378,1162,1463
DCLRE1A_p115612920,DCLRE1A,395,364,1136,1582
DDX4_m55076909,DDX4,392,322,1028,993
DDX4_m55081581,DDX4,1336,744,2040,2877
DDX4_p55076913,DDX4,450,229,949,525
DDX4_p55076952,DDX4,640,604,1455,1817
DDX4_p55077769,DDX4,424,457,792,787
DDX4_p55077775,DDX4,535,679,1030,1682
DDX4_p55077787,DDX4,518,610,1508,2882
DDX4_p55081259,DDX4,542,737,2599,2234
DDX4_p55081276,DDX4,1034,693,2444,2915
DDX4_p55081300,DDX4,436,546,1490,1212
DGCR14_m19130397,DGCR14,1123,474,1989,2551
DGCR14_m19132020,DGCR14,1103,714,868,146
DGCR14_m19132035,DGCR14,439,750,933,1444
DGCR14_m19132041,DGCR14,613,1037,1804,1288
DGCR14_m19132047,DGCR14,943,531,1815,1552
DGCR14_m19132069,DGCR14,543,611,672,264
DGCR14_m19132102,DGCR14,172,91,363,473
DGCR14_m19132142,DGCR14,62,129,232,46
DGCR14_p19132073,DGCR14,308,207,938,781
DGCR14_p19132121,DGCR14,630,1379,2328,1259
DGCR8_m20073507,DGCR8,368,353,1057,1181
DGCR8_m20073513,DGCR8,511,283,662,617
DGCR8_m20073518,DGCR8,724,805,1570,1329
DGCR8_m20073580,DGCR8,1112,568,1976,1256
DGCR8_m20073604,DGCR8,238,524,1193,500
DGCR8_p20073524,DGCR8,259,338,800,771
DGCR8_p20073611,DGCR8,595,330,1367,654
DGCR8_p20073618,DGCR8,1267,611,1240,1001
DGCR8_p20073624,DGCR8,488,758,1442,866
DGCR8_p20073656,DGCR8,207,472,1077,566
DHX38_m72130069,DHX38,1771,1273,2785,2264
DHX38_m72130081,DHX38,546,730,1138,699
DHX38_m72130088,DHX38,886,797,1879,595
DHX38_m72130156,DHX38,152,525,655,110
DHX38_m72130189,DHX38,921,750,1460,2009
DHX38_m72130194,DHX38,774,413,1590,1977
DHX38_p72130073,DHX38,891,362,1265,1131
DHX38_p72130097,DHX38,600,331,908,1828
DHX38_p72130104,DHX38,805,980,1210,579
DHX38_p72130196,DHX38,698,552,1499,932
DIP2A_m47879045,DIP2A,0,16,125,571
DIP2A_m47879086,DIP2A,163,164,325,308
DIP2A_m47916907,DIP2A,345,299,939,429
DIP2A_m47916918,DIP2A,835,636,1098,1609
DIP2A_p47879035,DIP2A,589,343,804,1023
DIP2A_p47879049,DIP2A,264,328,230,521
DIP2A_p47879075,DIP2A,837,424,854,1030
DIP2A_p47879094,DIP2A,229,306,970,889
DIP2A_p47879100,DIP2A,162,310,439,192
DIP2A_p47916910,DIP2A,558,648,1034,1777
DMBX1_m46972722,DMBX1,330,397,1027,1330
DMBX1_m46972740,DMBX1,670,403,799,1450
DMBX1_m46972750,DMBX1,385,298,916,572
DMBX1_m46972756,DMBX1,484,490,700,1962
DMBX1_m46972787,DMBX1,1330,979,2320,3885
DMBX1_m46972795,DMBX1,746,591,1425,1460
DMBX1_p46972673,DMBX1,370,268,653,843
DMBX1_p46972798,DMBX1,469,474,1674,1899
DMBX1_p46972810,DMBX1,460,320,1273,1123
DMBX1_p46976136,DMBX1,83,92,547,731
DMC1_m38962614,DMC1,199,35,285,949
DMC1_m38962649,DMC1,285,602,1120,1083
DMC1_m38962691,DMC1,504,570,954,1143
DMC1_m38963594,DMC1,92,150,146,1159
DMC1_m38964229,DMC1,547,349,427,887
DMC1_m38964239,DMC1,742,426,1274,931
DMC1_p38962675,DMC1,481,110,456,914
DMC1_p38963586,DMC1,437,345,883,897
DMC1_p38964200,DMC1,265,257,850,1746
DMC1_p38964208,DMC1,136,142,116,1689
DMRT1_m841839,DMRT1,497,495,1442,1584
DMRT1_m841844,DMRT1,323,192,458,397
DMRT1_p841831,DMRT1,854,504,1527,2671
DMRT1_p841858,DMRT1,550,482,940,1236
DMRT1_p841901,DMRT1,342,262,989,729
DMRT1_p841958,DMRT1,371,532,645,1803
DMRT1_p841985,DMRT1,236,340,858,931
DMRT1_p841991,DMRT1,96,94,563,1011
DMRT1_p842013,DMRT1,707,444,1847,2249
DMRT1_p842055,DMRT1,1008,418,1543,2001
DMRT3_m977022,DMRT3,1139,950,2780,2757
DMRT3_m977027,DMRT3,747,598,1466,1427
DMRT3_m977068,DMRT3,413,296,1211,591
DMRT3_m977099,DMRT3,504,518,1560,1123
DMRT3_m977105,DMRT3,1266,856,1764,1941
DMRT3_m977114,DMRT3,916,971,3439,3262
DMRT3_m977119,DMRT3,569,255,1436,814
DMRT3_m977132,DMRT3,1075,490,1641,1710
DMRT3_m977147,DMRT3,298,273,1380,504
DMRT3_p977038,DMRT3,67,207,349,743
DMRTA1_m22447096,DMRTA1,1056,1144,2493,1542
DMRTA1_m22447126,DMRTA1,853,429,1497,1294
DMRTA1_m22447198,DMRTA1,488,141,1081,703
DMRTA1_m22447207,DMRTA1,112,268,676,387
DMRTA1_p22447050,DMRTA1,360,244,1468,560
DMRTA1_p22447061,DMRTA1,912,541,943,756
DMRTA1_p22447076,DMRTA1,1366,1612,3490,2631
DMRTA1_p22447085,DMRTA1,653,652,2015,2150
DMRTA1_p22447099,DMRTA1,333,296,897,1038
DMRTA1_p22447159,DMRTA1,320,326,1461,1392
DMRTC2_m42351497,DMRTC2,927,649,2303,2486
DMRTC2_m42351550,DMRTC2,337,370,649,310
DMRTC2_m42351592,DMRTC2,363,291,782,914
DMRTC2_m42351602,DMRTC2,703,602,1229,1143
DMRTC2_m42351609,DMRTC2,212,334,950,1025
DMRTC2_m42351616,DMRTC2,0,120,129,524
DMRTC2_m42351626,DMRTC2,340,404,1456,1659
DMRTC2_m42351633,DMRTC2,282,314,506,253
DMRTC2_m42351639,DMRTC2,1209,1165,2824,2237
DMRTC2_p42351499,DMRTC2,685,602,1749,2129
DNA2_m70229852,DNA2,512,347,304,130
DNA2_m70229859,DNA2,1128,974,846,192
DNA2_m70229867,DNA2,926,766,1840,980
DNA2_m70229906,DNA2,32,152,152,35
DNA2_m70231557,DNA2,1069,794,2519,1292
DNA2_m70231590,DNA2,373,202,532,453
DNA2_m70231602,DNA2,768,655,1652,1727
DNA2_p70229869,DNA2,311,249,835,856
DNA2_p70229874,DNA2,621,490,666,358
DNA2_p70231535,DNA2,362,281,585,496
DNAAF1_m84179053,DNAAF1,108,74,462,387
DNAAF1_m84179069,DNAAF1,328,595,1187,1309
DNAAF1_p84179041,DNAAF1,373,571,1422,1483
DNAAF1_p84179057,DNAAF1,0,73,235,0
DNAAF1_p84179071,DNAAF1,371,396,647,647
DNAAF1_p84179083,DNAAF1,653,662,750,1226
DNAAF1_p84179090,DNAAF1,196,450,1421,1126
DNAAF1_p84179095,DNAAF1,475,109,430,591
DNAAF1_p84179107,DNAAF1,792,632,1002,2086
DNAAF1_p84179117,DNAAF1,395,528,1118,1430
DNTTIP1_m44420644,DNTTIP1,356,73,294,129
DNTTIP1_m44420653,DNTTIP1,506,369,477,668
DNTTIP1_m44421320,DNTTIP1,128,201,565,893
DNTTIP1_m44421365,DNTTIP1,512,293,611,244
DNTTIP1_m44422572,DNTTIP1,984,615,1661,1450
DNTTIP1_m44422582,DNTTIP1,181,123,272,52
DNTTIP1_m44422592,DNTTIP1,678,470,631,567
DNTTIP1_p44421322,DNTTIP1,426,513,279,105
