Gene	sgRNA	eff
C11orf86	C11orf86_p66742882	1
C11orf86	C11orf86_p66742955	1
C11orf91	C11orf91_m33722130	1
C11orf91	C11orf91_m33722135	1
C11orf91	C11orf91_m33722163	1
C11orf91	C11orf91_m33722278	1
C11orf91	C11orf91_p33722032	1
C11orf91	C11orf91_p33722078	1
C11orf91	C11orf91_p33722189	1
C11orf91	C11orf91_p33722194	1
C11orf91	C11orf91_p33722204	1
C11orf91	C11orf91_p33722229	1
C12orf23	C12orf23_m107360929	1
C12orf23	C12orf23_m107360938	1
C12orf23	C12orf23_m107360951	1
C12orf23	C12orf23_m107364901	1
C12orf23	C12orf23_m107364914	1
C12orf23	C12orf23_p107364893	1
C12orf23	C12orf23_p107364937	1
C12orf23	C12orf23_p107364947	1
C12orf23	C12orf23_p107364959	1
C12orf23	C12orf23_p107364967	1
C12orf29	C12orf29_m88436609	1
C12orf29	C12orf29_m88436614	1
C12orf29	C12orf29_p88429415	1
C12orf29	C12orf29_p88429429	1
C12orf29	C12orf29_p88429454	1
C12orf29	C12orf29_p88433941	1
C12orf29	C12orf29_p88434020	1
C12orf29	C12orf29_p88436596	1
C12orf29	C12orf29_p88437394	1
