depmap_id,log_copy_number,entrez_id,gene_name,cell_line_name,primary_disease,lineage,lineage_subtype,hover.string
ACH-000480,1.1223374497526095,1017,CDK2,HuH-7,Liver Cancer,liver,hepatocellular_carcinoma,</br><b>Cell Line:</b> HuH-7</br><b>log2(Copy Number):</b> 1.122</br><b>Lineage:</b> liver</br><b>Disease:</b> Liver Cancer
ACH-001561,1.0798956846552228,1017,CDK2,Mero-84,Lung Cancer,lung,mesothelioma,</br><b>Cell Line:</b> Mero-84</br><b>log2(Copy Number):</b> 1.080</br><b>Lineage:</b> lung</br><b>Disease:</b> Lung Cancer
ACH-000260,1.0328823978612056,1017,CDK2,SK-N-AS,Neuroblastoma,peripheral_nervous_system,neuroblastoma,</br><b>Cell Line:</b> SK-N-AS</br><b>log2(Copy Number):</b> 1.033</br><b>Lineage:</b> peripheral_nervous_system</br><b>Disease:</b> Neuroblastoma
ACH-000151,1.6960900983980411,1017,CDK2,JM1,Leukemia,blood,ALL,</br><b>Cell Line:</b> JM1</br><b>log2(Copy Number):</b> 1.696</br><b>Lineage:</b> blood</br><b>Disease:</b> Leukemia
ACH-001354,0.9735043603636028,1017,CDK2,LAN-2,Neuroblastoma,peripheral_nervous_system,neuroblastoma,</br><b>Cell Line:</b> LAN-2</br><b>log2(Copy Number):</b> 0.974</br><b>Lineage:</b> peripheral_nervous_system</br><b>Disease:</b> Neuroblastoma
ACH-001839,1.110651237868938,1017,CDK2,ICC13-7,Bile Duct Cancer,bile_duct,cholangiocarcinoma,</br><b>Cell Line:</b> ICC13-7</br><b>log2(Copy Number):</b> 1.111</br><b>Lineage:</b> bile_duct</br><b>Disease:</b> Bile Duct Cancer
ACH-001977,0.9954063366735572,1017,CDK2,NO36,Lung Cancer,lung,mesothelioma,</br><b>Cell Line:</b> NO36</br><b>log2(Copy Number):</b> 0.995</br><b>Lineage:</b> lung</br><b>Disease:</b> Lung Cancer
ACH-000114,1.0004120588287868,1017,CDK2,SU.86.86,Pancreatic Cancer,pancreas,exocrine,</br><b>Cell Line:</b> SU.86.86</br><b>log2(Copy Number):</b> 1.000</br><b>Lineage:</b> pancreas</br><b>Disease:</b> Pancreatic Cancer
ACH-001750,0.9968574301456216,1017,CDK2,TTC442,Sarcoma,soft_tissue,rhabdomyosarcoma,</br><b>Cell Line:</b> TTC442</br><b>log2(Copy Number):</b> 0.997</br><b>Lineage:</b> soft_tissue</br><b>Disease:</b> Sarcoma
ACH-001205,0.9890086908068184,1017,CDK2,TC-32,Bone Cancer,bone,Ewing_sarcoma,</br><b>Cell Line:</b> TC-32</br><b>log2(Copy Number):</b> 0.989</br><b>Lineage:</b> bone</br><b>Disease:</b> Bone Cancer
ACH-000988,1.0365387983802985,1017,CDK2,MFE-319,Endometrial/Uterine Cancer,uterus,endometrial_adenocarcinoma,</br><b>Cell Line:</b> MFE-319</br><b>log2(Copy Number):</b> 1.037</br><b>Lineage:</b> uterus</br><b>Disease:</b> Endometrial/Uterine Cancer
ACH-001606,0.7723808230372544,1017,CDK2,no.11,Brain Cancer,central_nervous_system,glioma,</br><b>Cell Line:</b> no.11</br><b>log2(Copy Number):</b> 0.772</br><b>Lineage:</b> central_nervous_system</br><b>Disease:</b> Brain Cancer
ACH-001119,1.0391147790664352,1017,CDK2,Mac-2A,Lymphoma,lymphocyte,lymphoma_unspecified,</br><b>Cell Line:</b> Mac-2A</br><b>log2(Copy Number):</b> 1.039</br><b>Lineage:</b> lymphocyte</br><b>Disease:</b> Lymphoma
ACH-000916,1.0720383379394458,1017,CDK2,NCI-H1573,Lung Cancer,lung,NSCLC,</br><b>Cell Line:</b> NCI-H1573</br><b>log2(Copy Number):</b> 1.072</br><b>Lineage:</b> lung</br><b>Disease:</b> Lung Cancer
ACH-002371,0.999591557833514,1017,CDK2,NCIBL2126,Unknown,unknown,NA,</br><b>Cell Line:</b> NCIBL2126</br><b>log2(Copy Number):</b> 1.000</br><b>Lineage:</b> unknown</br><b>Disease:</b> Unknown
ACH-002267,1.0146248843799437,1017,CDK2,LC4-1,Leukemia,blood,ALL,</br><b>Cell Line:</b> LC4-1</br><b>log2(Copy Number):</b> 1.015</br><b>Lineage:</b> blood</br><b>Disease:</b> Leukemia
ACH-001234,1.1928866189723557,1017,CDK2,VMRC-LCP,Lung Cancer,lung,NSCLC,</br><b>Cell Line:</b> VMRC-LCP</br><b>log2(Copy Number):</b> 1.193</br><b>Lineage:</b> lung</br><b>Disease:</b> Lung Cancer
ACH-001088,1.1661909669471069,1017,CDK2,NA,Lung Cancer,lung,NSCLC,</br><b>Cell Line:</b> NA</br><b>log2(Copy Number):</b> 1.166</br><b>Lineage:</b> lung</br><b>Disease:</b> Lung Cancer
ACH-001002,0.955910009728944,1017,CDK2,NA,Skin Cancer,skin,melanoma,</br><b>Cell Line:</b> NA</br><b>log2(Copy Number):</b> 0.956</br><b>Lineage:</b> skin</br><b>Disease:</b> Skin Cancer
ACH-000504,0.8770479717458983,1017,CDK2,SNB75,Brain Cancer,central_nervous_system,glioma,</br><b>Cell Line:</b> SNB75</br><b>log2(Copy Number):</b> 0.877</br><b>Lineage:</b> central_nervous_system</br><b>Disease:</b> Brain Cancer
