dependency,entrez_id,gene_name,depmap_id,cell_line_name,primary_disease,lineage,lineage_subtype,hover.string
-0.165019644567,1017,CDK2,ACH-000554,UACC-893,Breast Cancer,breast,breast_ductal_carcinoma,</br><b>Cell Line:</b> UACC-893</br><b>Dependency:</b> -0.165</br><b>Lineage:</b> breast</br><b>Disease:</b> Breast Cancer
-0.122362583752,1017,CDK2,ACH-000741,U-BLC1,Bladder Cancer,urinary_tract,bladder_carcinoma,</br><b>Cell Line:</b> U-BLC1</br><b>Dependency:</b> -0.122</br><b>Lineage:</b> urinary_tract</br><b>Disease:</b> Bladder Cancer
-0.169956368178,1017,CDK2,ACH-000522,UM-UC-3,Bladder Cancer,urinary_tract,bladder_carcinoma,</br><b>Cell Line:</b> UM-UC-3</br><b>Dependency:</b> -0.170</br><b>Lineage:</b> urinary_tract</br><b>Disease:</b> Bladder Cancer
0.179788899825,1017,CDK2,ACH-000262,UOK101,Kidney Cancer,kidney,renal_cell_carcinoma,</br><b>Cell Line:</b> UOK101</br><b>Dependency:</b>  0.180</br><b>Lineage:</b> kidney</br><b>Disease:</b> Kidney Cancer
-0.353580121163,1017,CDK2,ACH-000115,VCaP,Prostate Cancer,prostate,prostate_adenocarcinoma,</br><b>Cell Line:</b> VCaP</br><b>Dependency:</b> -0.354</br><b>Lineage:</b> prostate</br><b>Disease:</b> Prostate Cancer
-0.026802874605,1017,CDK2,ACH-000484,VMRC-RCW,Kidney Cancer,kidney,renal_cell_carcinoma,</br><b>Cell Line:</b> VMRC-RCW</br><b>Dependency:</b> -0.027</br><b>Lineage:</b> kidney</br><b>Disease:</b> Kidney Cancer
-0.111822946949,1017,CDK2,ACH-000304,WM-115,Skin Cancer,skin,melanoma,</br><b>Cell Line:</b> WM-115</br><b>Dependency:</b> -0.112</br><b>Lineage:</b> skin</br><b>Disease:</b> Skin Cancer
-0.023604649634,1017,CDK2,ACH-000661,WM1799,Skin Cancer,skin,melanoma,</br><b>Cell Line:</b> WM1799</br><b>Dependency:</b> -0.024</br><b>Lineage:</b> skin</br><b>Disease:</b> Skin Cancer
-0.0712072141879,1017,CDK2,ACH-001239,WM-266-4,Skin Cancer,skin,melanoma,</br><b>Cell Line:</b> WM-266-4</br><b>Dependency:</b> -0.071</br><b>Lineage:</b> skin</br><b>Disease:</b> Skin Cancer
-0.324552146862,1017,CDK2,ACH-000827,WM-793,Skin Cancer,skin,melanoma,</br><b>Cell Line:</b> WM-793</br><b>Dependency:</b> -0.325</br><b>Lineage:</b> skin</br><b>Disease:</b> Skin Cancer
0.259206692932,1017,CDK2,ACH-000899,WM-88,Skin Cancer,skin,melanoma,</br><b>Cell Line:</b> WM-88</br><b>Dependency:</b>  0.259</br><b>Lineage:</b> skin</br><b>Disease:</b> Skin Cancer
-0.0824073251509,1017,CDK2,ACH-000765,WM-983B,Skin Cancer,skin,melanoma,</br><b>Cell Line:</b> WM-983B</br><b>Dependency:</b> -0.082</br><b>Lineage:</b> skin</br><b>Disease:</b> Skin Cancer
-0.139337864866,1017,CDK2,ACH-000534,WSU-DLCL2,Lymphoma,lymphocyte,non_hodgkin_lymphoma,</br><b>Cell Line:</b> WSU-DLCL2</br><b>Dependency:</b> -0.139</br><b>Lineage:</b> lymphocyte</br><b>Disease:</b> Lymphoma
-0.336025715664,1017,CDK2,ACH-000762,YD-38,Head and Neck Cancer,upper_aerodigestive,upper_aerodigestive_squamous,</br><b>Cell Line:</b> YD-38</br><b>Dependency:</b> -0.336</br><b>Lineage:</b> upper_aerodigestive</br><b>Disease:</b> Head and Neck Cancer
0.263713215032,1017,CDK2,ACH-000630,YD-8,Head and Neck Cancer,upper_aerodigestive,upper_aerodigestive_squamous,</br><b>Cell Line:</b> YD-8</br><b>Dependency:</b>  0.264</br><b>Lineage:</b> upper_aerodigestive</br><b>Disease:</b> Head and Neck Cancer
-0.179087771748,1017,CDK2,ACH-000570,YKG1,Brain Cancer,central_nervous_system,glioma,</br><b>Cell Line:</b> YKG1</br><b>Dependency:</b> -0.179</br><b>Lineage:</b> central_nervous_system</br><b>Disease:</b> Brain Cancer
-0.351341911576,1017,CDK2,ACH-001249,NA,Breast Cancer,breast,breast_carcinoma,</br><b>Cell Line:</b> NA</br><b>Dependency:</b> -0.351</br><b>Lineage:</b> breast</br><b>Disease:</b> Breast Cancer
-0.252505576842,1017,CDK2,ACH-000097,ZR-75-1,Breast Cancer,breast,breast_ductal_carcinoma,</br><b>Cell Line:</b> ZR-75-1</br><b>Dependency:</b> -0.253</br><b>Lineage:</b> breast</br><b>Disease:</b> Breast Cancer
-0.36932292964,1017,CDK2,ACH-000828,ZR-75-30,Breast Cancer,breast,breast_ductal_carcinoma,</br><b>Cell Line:</b> ZR-75-30</br><b>Dependency:</b> -0.369</br><b>Lineage:</b> breast</br><b>Disease:</b> Breast Cancer
-0.198170563281,1017,CDK2,ACH-002331,ZR75B,Breast Cancer,breast,NA,</br><b>Cell Line:</b> ZR75B</br><b>Dependency:</b> -0.198</br><b>Lineage:</b> breast</br><b>Disease:</b> Breast Cancer
