depmap_id,dependency,entrez_id,gene_name,cell_line_name,primary_disease,lineage,lineage_subtype,hover.string
ACH-000161,-0.8055207258801038,1017,CDK2,COR-L105,Lung Cancer,lung,NSCLC,</br><b>Cell Line:</b> COR-L105</br><b>Dependency:</b> -0.806</br><b>Lineage:</b> lung</br><b>Disease:</b> Lung Cancer
ACH-000163,-1.1517812310335422,1017,CDK2,SW579,Thyroid Cancer,thyroid,thyroid_squamous,</br><b>Cell Line:</b> SW579</br><b>Dependency:</b> -1.152</br><b>Lineage:</b> thyroid</br><b>Disease:</b> Thyroid Cancer
ACH-000164,-0.4817783928905907,1017,CDK2,PANC-1,Pancreatic Cancer,pancreas,exocrine,</br><b>Cell Line:</b> PANC-1</br><b>Dependency:</b> -0.482</br><b>Lineage:</b> pancreas</br><b>Disease:</b> Pancreatic Cancer
ACH-000167,-0.5902503176551329,1017,CDK2,KE-97,Myeloma,plasma_cell,multiple_myeloma,</br><b>Cell Line:</b> KE-97</br><b>Dependency:</b> -0.590</br><b>Lineage:</b> plasma_cell</br><b>Disease:</b> Myeloma
ACH-000168,-0.7957285046367442,1017,CDK2,NOMO-1,Leukemia,blood,AML,</br><b>Cell Line:</b> NOMO-1</br><b>Dependency:</b> -0.796</br><b>Lineage:</b> blood</br><b>Disease:</b> Leukemia
ACH-000169,-0.4065387625160186,1017,CDK2,RD,Sarcoma,soft_tissue,rhabdomyosarcoma,</br><b>Cell Line:</b> RD</br><b>Dependency:</b> -0.407</br><b>Lineage:</b> soft_tissue</br><b>Disease:</b> Sarcoma
ACH-000172,-0.8070958630384063,1017,CDK2,TM-87,Rhabdoid,soft_tissue,malignant_rhabdoid_tumor,</br><b>Cell Line:</b> TM-87</br><b>Dependency:</b> -0.807</br><b>Lineage:</b> soft_tissue</br><b>Disease:</b> Rhabdoid
ACH-000174,-0.5621077968513754,1017,CDK2,CAL-62,Thyroid Cancer,thyroid,thyroid_carcinoma,</br><b>Cell Line:</b> CAL-62</br><b>Dependency:</b> -0.562</br><b>Lineage:</b> thyroid</br><b>Disease:</b> Thyroid Cancer
ACH-000176,-1.112605410880382,1017,CDK2,LOU-NH91,Lung Cancer,lung,NSCLC,</br><b>Cell Line:</b> LOU-NH91</br><b>Dependency:</b> -1.113</br><b>Lineage:</b> lung</br><b>Disease:</b> Lung Cancer
ACH-000178,-0.7714271673619666,1017,CDK2,Hs 766T,Pancreatic Cancer,pancreas,exocrine,</br><b>Cell Line:</b> Hs 766T</br><b>Dependency:</b> -0.771</br><b>Lineage:</b> pancreas</br><b>Disease:</b> Pancreatic Cancer
ACH-000181,-0.7664393043709244,1017,CDK2,SCC-9,Head and Neck Cancer,upper_aerodigestive,upper_aerodigestive_squamous,</br><b>Cell Line:</b> SCC-9</br><b>Dependency:</b> -0.766</br><b>Lineage:</b> upper_aerodigestive</br><b>Disease:</b> Head and Neck Cancer
ACH-000182,-0.2975976260964839,1017,CDK2,SNU-869,Bile Duct Cancer,bile_duct,cholangiocarcinoma,</br><b>Cell Line:</b> SNU-869</br><b>Dependency:</b> -0.298</br><b>Lineage:</b> bile_duct</br><b>Disease:</b> Bile Duct Cancer
ACH-000183,-0.2599579617756875,1017,CDK2,L-363,Myeloma,plasma_cell,multiple_myeloma,</br><b>Cell Line:</b> L-363</br><b>Dependency:</b> -0.260</br><b>Lineage:</b> plasma_cell</br><b>Disease:</b> Myeloma
ACH-000187,-1.0108360073169202,1017,CDK2,COR-L311,Lung Cancer,lung,SCLC,</br><b>Cell Line:</b> COR-L311</br><b>Dependency:</b> -1.011</br><b>Lineage:</b> lung</br><b>Disease:</b> Lung Cancer
ACH-000188,-0.0924053189317372,1017,CDK2,SCC-25,Head and Neck Cancer,upper_aerodigestive,upper_aerodigestive_squamous,</br><b>Cell Line:</b> SCC-25</br><b>Dependency:</b> -0.092</br><b>Lineage:</b> upper_aerodigestive</br><b>Disease:</b> Head and Neck Cancer
ACH-000189,-0.7379855526323625,1017,CDK2,RCC10RGB,Kidney Cancer,kidney,renal_cell_carcinoma,</br><b>Cell Line:</b> RCC10RGB</br><b>Dependency:</b> -0.738</br><b>Lineage:</b> kidney</br><b>Disease:</b> Kidney Cancer
ACH-000190,-0.5331328548776664,1017,CDK2,HD-MY-Z,Leukemia,NA,NA,</br><b>Cell Line:</b> HD-MY-Z</br><b>Dependency:</b> -0.533</br><b>Lineage:</b> NA</br><b>Disease:</b> Leukemia
ACH-000191,-0.4008331187535934,1017,CDK2,BHT-101,Thyroid Cancer,thyroid,thyroid_carcinoma,</br><b>Cell Line:</b> BHT-101</br><b>Dependency:</b> -0.401</br><b>Lineage:</b> thyroid</br><b>Disease:</b> Thyroid Cancer
ACH-000192,-1.129320134315686,1017,CDK2,MFE-280,Endometrial/Uterine Cancer,uterus,endometrial_adenocarcinoma,</br><b>Cell Line:</b> MFE-280</br><b>Dependency:</b> -1.129</br><b>Lineage:</b> uterus</br><b>Disease:</b> Endometrial/Uterine Cancer
ACH-000195,-0.8641748820648849,1017,CDK2,Set-2,Leukemia,blood,AML,</br><b>Cell Line:</b> Set-2</br><b>Dependency:</b> -0.864</br><b>Lineage:</b> blood</br><b>Disease:</b> Leukemia
ACH-000198,-0.30317645820460865,1017,CDK2,EOL-1,Leukemia,blood,AML,</br><b>Cell Line:</b> EOL-1</br><b>Dependency:</b> -0.303</br><b>Lineage:</b> blood</br><b>Disease:</b> Leukemia
ACH-000200,-0.8115822546854674,1017,CDK2,NMC-G1,Brain Cancer,central_nervous_system,glioma,</br><b>Cell Line:</b> NMC-G1</br><b>Dependency:</b> -0.812</br><b>Lineage:</b> central_nervous_system</br><b>Disease:</b> Brain Cancer
ACH-000202,-0.7962124792105871,1017,CDK2,COLO-320,Colon/Colorectal Cancer,colorectal,colorectal_adenocarcinoma,</br><b>Cell Line:</b> COLO-320</br><b>Dependency:</b> -0.796</br><b>Lineage:</b> colorectal</br><b>Disease:</b> Colon/Colorectal Cancer
ACH-000204,-0.4208020100734979,1017,CDK2,LP-1,Myeloma,plasma_cell,multiple_myeloma,</br><b>Cell Line:</b> LP-1</br><b>Dependency:</b> -0.421</br><b>Lineage:</b> plasma_cell</br><b>Disease:</b> Myeloma
ACH-000206,-0.3330551212071028,1017,CDK2,NA,Lymphoma,lymphocyte,ATL,</br><b>Cell Line:</b> NA</br><b>Dependency:</b> -0.333</br><b>Lineage:</b> lymphocyte</br><b>Disease:</b> Lymphoma
ACH-000207,-0.31605890827266003,1017,CDK2,Detroit 562,Head and Neck Cancer,upper_aerodigestive,upper_aerodigestive_squamous,</br><b>Cell Line:</b> Detroit 562</br><b>Dependency:</b> -0.316</br><b>Lineage:</b> upper_aerodigestive</br><b>Disease:</b> Head and Neck Cancer
ACH-000209,-0.8996409719432551,1017,CDK2,SNU-1079,Bile Duct Cancer,bile_duct,cholangiocarcinoma,</br><b>Cell Line:</b> SNU-1079</br><b>Dependency:</b> -0.900</br><b>Lineage:</b> bile_duct</br><b>Disease:</b> Bile Duct Cancer
